@relation skin_lesions-weka.filters.supervised.instance.SMOTE-C1-K5-P304.9-S1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute asymmetry numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute convexity numeric
@attribute elongation numeric
@attribute rectangularity numeric
@attribute solidity numeric
@attribute fractalDimension numeric
@attribute radialVariance numeric
@attribute lesionBMean numeric
@attribute lesionGMean numeric
@attribute lesionRMean numeric
@attribute lesionBMedian numeric
@attribute lesionGMedian numeric
@attribute lesionRMedian numeric
@attribute lesionBStd numeric
@attribute lesionGStd numeric
@attribute lesionRStd numeric
@attribute skinBMean numeric
@attribute skinGMean numeric
@attribute skinRMean numeric
@attribute skinBMedian numeric
@attribute skinGMedian numeric
@attribute skinRMedian numeric
@attribute skinBStd numeric
@attribute skinGStd numeric
@attribute skinRStd numeric
@attribute lesionLMean numeric
@attribute lesionAMean numeric
@attribute lesionBbMean numeric
@attribute lesionLMedian numeric
@attribute lesionAMedian numeric
@attribute lesionBbMedian numeric
@attribute lesionLStd numeric
@attribute lesionAStd numeric
@attribute lesionBbStd numeric
@attribute skinLMean numeric
@attribute skinAMean numeric
@attribute skinBbMean numeric
@attribute skinLMedian numeric
@attribute skinAMedian numeric
@attribute skinBbMedian numeric
@attribute skinLStd numeric
@attribute skinAStd numeric
@attribute skinBbStd numeric
@attribute bContrast numeric
@attribute bCorrelation numeric
@attribute bEnergy numeric
@attribute bEntropy numeric
@attribute bHomogeneity numeric
@attribute bMean numeric
@attribute bVariance numeric
@attribute gContrast numeric
@attribute gCorrelation numeric
@attribute gEnergy numeric
@attribute gEntropy numeric
@attribute gHomogeneity numeric
@attribute gMean numeric
@attribute gVariance numeric
@attribute rContrast numeric
@attribute rCorrelation numeric
@attribute rEnergy numeric
@attribute rEntropy numeric
@attribute rHomogeneity numeric
@attribute rMean numeric
@attribute rVariance numeric
@attribute lContrast numeric
@attribute lCorrelation numeric
@attribute lEnergy numeric
@attribute lEntropy numeric
@attribute lHomogeneity numeric
@attribute lMean numeric
@attribute lVariance numeric
@attribute aContrast numeric
@attribute aCorrelation numeric
@attribute aEnergy numeric
@attribute aEntropy numeric
@attribute aHomogeneity numeric
@attribute aMean numeric
@attribute aVariance numeric
@attribute bbContrast numeric
@attribute bbCorrelation numeric
@attribute bbEnergy numeric
@attribute bbEntropy numeric
@attribute bbHomogeneity numeric
@attribute bbMean numeric
@attribute bbVariance numeric
@attribute class {MALIGNANT,BENIGN}

@data
0.697517,0.858808,0.248527,0.329609,0.598131,0.345188,0.970859,0.319048,0.011091,0.417391,0.41862,0.488786,0.143338,0.188137,0.370487,0.574668,0.597638,0.695941,0.014005,0.153865,0.084816,0.00001,0.000195,0,0.027572,0.426121,0.300019,0.51663,0.140464,0.260152,0.207095,0.050558,0.763671,0.591185,0.269768,0.39352,0.118161,0.224173,0.169171,0,0.000195,0.00289,0.358303,0.382478,0.241706,0.022855,0.993333,0.025974,0.792918,0.310606,0.321159,0.253277,0.017525,0.992105,0.021845,0.799407,0.315101,0.291018,0.1831,0.018332,0.994737,0.019876,0.800791,0.322464,0.283357,0.136394,0.022855,0.993333,0.025974,0.792918,0.310606,0.321159,0.253277,0.017525,0.992105,0.021845,0.799407,0.315101,0.291018,0.1831,0.018332,0.994737,0.019876,0.800791,0.322464,0.283357,0.136394,BENIGN
0.914221,0.985751,0.2852,0.344693,0.858645,0.388424,0.970859,0.27619,0.002538,0.204557,0.306082,0.518887,0.000268,0.001223,0.496726,0.438683,0.563564,0.788189,0.102898,0.085672,0.089845,0.010439,0.008123,0.002946,0.378362,0.300127,0.364817,0.386654,0.261781,0.501965,0.07147,0.031103,0,0.530148,0.426115,0.700952,0.091047,0.082423,0.094313,0.005151,0.008123,0.728985,0.336463,0.166842,0.141377,0.029953,0.955556,0.049062,0.701549,0.314394,0.153248,0.059309,0.026215,0.968421,0.029126,0.762667,0.298454,0.193798,0.079751,0.031274,0.987719,0.017391,0.812652,0.269324,0.251603,0.111414,0.029953,0.955556,0.049062,0.701549,0.314394,0.153248,0.059309,0.026215,0.968421,0.029126,0.762667,0.298454,0.193798,0.079751,0.031274,0.987719,0.017391,0.812652,0.269324,0.251603,0.111414,BENIGN
0.790068,0.914508,0.18664,0.262011,0.691589,0.347978,0.857362,0.447619,0.007238,0.510104,0.395692,0.19491,0.620726,0.426162,0.997106,0.755972,0.72763,0.536332,0.141344,0.307493,0.113208,0.011814,0.083376,0.067784,0.277958,0.606235,0.333224,0.411768,0.266881,0.388031,0.747802,0.000248,0.356573,0.728859,0.430047,0.50564,0.238235,0.308381,0.316051,0.041097,0.083376,0.080787,0.504796,0.501198,0.345483,0.026835,0.982222,0.024531,0.784382,0.292929,0.390072,0.124481,0.019183,0.973684,0.026699,0.763852,0.305589,0.379997,0.070419,0.018152,0.968421,0.04472,0.689173,0.324879,0.454023,0.029315,0.026835,0.982222,0.024531,0.784382,0.292929,0.390072,0.124481,0.019183,0.973684,0.026699,0.763852,0.305589,0.379997,0.070419,0.018152,0.968421,0.04472,0.689173,0.324879,0.454023,0.029315,MALIGNANT
0.82167,0.971503,0.251473,0.311173,0.970794,0.345188,0.955521,0.32381,0.004104,0.327486,0.537682,0.49392,0.073508,0.379142,0.774304,0.548084,0.761515,0.713627,0.092292,0.097078,0.07039,0.009971,0.000015,0,0.314873,0.298026,0.256235,0.633883,0.163502,0.518257,0.878467,0.001224,0.002734,0.782158,0.256136,0.621289,0.086709,0.042657,0.080965,0,0.000015,0.890221,0.285735,0.038434,0.119363,0.037522,0.971111,0.030303,0.767626,0.281566,0.256537,0.10578,0.030004,0.978947,0.018204,0.815704,0.281807,0.352085,0.130216,0.031251,0.989474,0.017391,0.821168,0.282609,0.479728,0.127024,0.037522,0.971111,0.030303,0.767626,0.281566,0.256537,0.10578,0.030004,0.978947,0.018204,0.815704,0.281807,0.352085,0.130216,0.031251,0.989474,0.017391,0.821168,0.282609,0.479728,0.127024,BENIGN
0.984199,1,0.287164,0.325698,0.997664,0.365411,1,0.3,0.000157,0.888709,0.713199,0.502264,0.764969,0.83363,0.089175,0.6587,0.583325,0.761814,0.00159,0.001915,0.001935,0,0,0,0.00718,0.006837,0.006698,0.620636,0.771548,0.474757,0.339506,0.007197,0.196121,0.617712,0.769915,0.500756,0.000141,0,0,0,0,0.505805,0.008151,0,0,0.057906,0.991111,0.012987,0.885552,0.295455,0.679255,0.467806,0.044097,0.989474,0.010922,0.88563,0.298454,0.552796,0.368787,0.04389,0.991228,0.021118,0.831509,0.309179,0.716723,0.226899,0.057906,0.991111,0.012987,0.885552,0.295455,0.679255,0.467806,0.044097,0.989474,0.010922,0.88563,0.298454,0.552796,0.368787,0.04389,0.991228,0.021118,0.831509,0.309179,0.716723,0.226899,MALIGNANT
0.799097,0.920984,0.241323,0.317318,0.691589,0.316597,0.923313,0.309524,0.007269,0.339628,0.264815,0.17016,0.004281,0.018279,0.317276,0.624105,0.572352,0.513205,0.253725,0.19521,0.138358,0.066483,0.07328,0.073292,0.604745,0.512311,0.449031,0.285005,0.240837,0.295028,0.211923,0.016644,0.00079,0.574166,0.412841,0.431249,0.190605,0.117607,0.290489,0.049553,0.07328,0.097506,0.526348,0.217803,0.344615,0.038087,0.951111,0.02886,0.759089,0.229798,0.280824,0.066498,0.029791,0.923684,0.027913,0.748741,0.233056,0.333108,0.036918,0.028708,0.884211,0.040994,0.681569,0.248792,0.397733,0.012015,0.038087,0.951111,0.02886,0.759089,0.229798,0.280824,0.066498,0.029791,0.923684,0.027913,0.748741,0.233056,0.333108,0.036918,0.028708,0.884211,0.040994,0.681569,0.248792,0.397733,0.012015,BENIGN
0.889391,0.874352,0.246234,0.297765,0.599299,0.379358,0.972393,0.133333,0.010559,0.423641,0.392877,0.293973,0.139259,0.121441,0.517335,0.649177,0.684148,0.682875,0.260867,0.171021,0.140134,0.044678,0.048543,0.129629,0.684183,0.44753,0.454204,0.407812,0.122638,0.164338,0.424887,0.056108,0.06509,0.63575,0.170898,0.172667,0.163068,0.120406,0.202927,0.035348,0.048543,0.055321,0.446011,0.206375,0.211712,0.03993,0.971111,0.023088,0.794499,0.224747,0.281263,0.120181,0.032425,0.960526,0.019417,0.79437,0.223543,0.309806,0.074988,0.032507,0.950877,0.027329,0.750304,0.235507,0.355699,0.032449,0.03993,0.971111,0.023088,0.794499,0.224747,0.281263,0.120181,0.032425,0.960526,0.019417,0.79437,0.223543,0.309806,0.074988,0.032507,0.950877,0.027329,0.750304,0.235507,0.355699,0.032449,BENIGN
0.751693,0.962435,0.241323,0.300559,0.859813,0.347978,0.944785,0.214286,0.0047,0.36431,0.51831,0.414672,0.054841,0.488742,0.644682,0.600164,0.741593,0.714538,0.192789,0.134659,0.075044,0.024031,0.002903,0,0.568105,0.332568,0.272075,0.57841,0.298069,0.404268,0.730186,0,0,0.777175,0.464407,0.560497,0.128662,0.14581,0.142191,0.000109,0.002903,0.620859,0.368498,0.178789,0.219264,0.018903,0.982222,0.034632,0.740752,0.34596,0.250782,0.098936,0.015123,0.989474,0.021845,0.784593,0.342449,0.348807,0.121549,0.016209,0.991228,0.026087,0.772202,0.344203,0.522251,0.092784,0.018903,0.982222,0.034632,0.740752,0.34596,0.250782,0.098936,0.015123,0.989474,0.021845,0.784593,0.342449,0.348807,0.121549,0.016209,0.991228,0.026087,0.772202,0.344203,0.522251,0.092784,BENIGN
0.629797,0.871762,0.238048,0.329609,0.663551,0.32357,0.941718,0.366667,0.009744,0.411896,0.468938,0.25922,0.046967,0.557323,0.819698,0.662404,0.767054,0.590627,0.272492,0.242585,0.179394,0.095596,0.047745,0.02682,0.701414,0.558319,0.537421,0.485426,0.377726,0.24315,0.658364,0,0,0.773033,0.583815,0.370212,0.245614,0.13483,0.151287,0.022152,0.047745,0.777786,0.623088,0.211623,0.233031,0.021781,0.98,0.030303,0.747392,0.333333,0.27082,0.095353,0.01766,0.981579,0.024272,0.767407,0.330559,0.354823,0.088029,0.017323,0.977193,0.036025,0.716241,0.341787,0.481837,0.038966,0.021781,0.98,0.030303,0.747392,0.333333,0.27082,0.095353,0.01766,0.981579,0.024272,0.767407,0.330559,0.354823,0.088029,0.017323,0.977193,0.036025,0.716241,0.341787,0.481837,0.038966,BENIGN
0.604966,0.897668,0.224951,0.288268,0.926402,0.328452,0.929448,0.2,0.008334,0.480486,0.511959,0.27047,0,0.080046,0.904518,0.78757,0.86333,0.567452,0.123788,0.114738,0.094632,0.041254,0.046715,0.025417,0.422937,0.358682,0.348769,0.561684,0.230228,0.160326,0.766115,0.001725,0,0.86496,0.38042,0.241036,0.112511,0.078333,0.151158,0.013176,0.046715,0.953439,0.365453,0.145985,0.268252,0.034474,0.968889,0.025974,0.770787,0.266414,0.253005,0.093861,0.029956,0.968421,0.020631,0.792296,0.256837,0.316506,0.086068,0.033738,0.970175,0.028571,0.76399,0.26087,0.394387,0.054697,0.034474,0.968889,0.025974,0.770787,0.266414,0.253005,0.093861,0.029956,0.968421,0.020631,0.792296,0.256837,0.316506,0.086068,0.033738,0.970175,0.028571,0.76399,0.26087,0.394387,0.054697,BENIGN
